"position","const","created","modified","description","Title","Title type","Directors","RDLongoria rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"24","tt0266697","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Kill Bill: Vol. 1","Feature Film","Quentin Tarantino","8","8.1","111","2003","action","725813","2003-10-10","http://www.imdb.com/title/tt0266697/"
"25","tt1663143","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Fun Size","Feature Film","Josh Schwartz","","5.4","86","2012","adventure, comedy","11083","2012-10-25","http://www.imdb.com/title/tt1663143/"
"26","tt1549920","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","The Last Stand","Feature Film","Kim Jee-woon","5","6.4","107","2013","action, crime, thriller","113378","2013-01-12","http://www.imdb.com/title/tt1549920/"
"27","tt1229340","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Anchorman 2: The Legend Continues","Feature Film","Adam McKay","","6.3","119","2013","comedy","129409","2013-11-24","http://www.imdb.com/title/tt1229340/"
"28","tt1667310","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Deadfall","Feature Film","Stefan Ruzowitzky","","6.3","95","2012","crime, drama, thriller","32236","2012-04-22","http://www.imdb.com/title/tt1667310/"
"29","tt1783732","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","John Dies at the End","Feature Film","Don Coscarelli","","6.4","99","2012","comedy, horror, sci_fi","29490","2012-01-23","http://www.imdb.com/title/tt1783732/"
"30","tt0117951","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Trainspotting","Feature Film","Danny Boyle","7","8.2","94","1996","drama","463417","1996-02-23","http://www.imdb.com/title/tt0117951/"
"31","tt0105236","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Reservoir Dogs","Feature Film","Quentin Tarantino","9","8.4","99","1992","crime, drama, thriller","654929","1992-01-21","http://www.imdb.com/title/tt0105236/"
"32","tt0092005","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Stand by Me","Feature Film","Rob Reiner","7","8.1","89","1986","adventure, drama","267702","1986-08-08","http://www.imdb.com/title/tt0092005/"
"33","tt0109506","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","The Crow","Feature Film","Alex Proyas","6","7.6","102","1994","action, drama, fantasy","135402","1994-05-11","http://www.imdb.com/title/tt0109506/"
"34","tt0116282","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Fargo","Feature Film","Joel Coen","7","8.2","98","1996","crime, drama, thriller","448077","1996-03-08","http://www.imdb.com/title/tt0116282/"
"35","tt0119116","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","The Fifth Element","Feature Film","Luc Besson","8","7.7","126","1997","action, adventure, sci_fi","338994","1997-05-07","http://www.imdb.com/title/tt0119116/"
"36","tt0378194","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Kill Bill: Vol. 2","Feature Film","Quentin Tarantino","8","8.0","137","2004","action, crime, thriller","506568","2004-04-16","http://www.imdb.com/title/tt0378194/"
"37","tt2109184","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Paranormal Activity 4","Feature Film","Henry Joost, Ariel Schulman","3","4.6","88","2012","horror","50598","2012-10-16","http://www.imdb.com/title/tt2109184/"
"38","tt0431021","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","The Possession","Feature Film","Ole Bornedal","","5.9","92","2012","horror, thriller","46707","2012-08-30","http://www.imdb.com/title/tt0431021/"
"39","tt1596365","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","The Woman in Black","Feature Film","James Watkins","6","6.4","95","2012","drama, fantasy, horror, thriller","138296","2012-02-03","http://www.imdb.com/title/tt1596365/"
"40","tt1990314","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Robot & Frank","Feature Film","Jake Schreier","","7.1","89","2012","comedy, crime, drama, sci_fi","52037","2012-01-20","http://www.imdb.com/title/tt1990314/"
"41","tt0238380","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Equilibrium","Feature Film","Kurt Wimmer","5","7.5","107","2002","action, drama, sci_fi, thriller","258723","2002-12-06","http://www.imdb.com/title/tt0238380/"
"42","tt0088323","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","The NeverEnding Story","Feature Film","Wolfgang Petersen","7","7.4","102","1984","adventure, drama, family, fantasy","98330","1984-04-06","http://www.imdb.com/title/tt0088323/"
"43","tt0096895","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Batman","Feature Film","Tim Burton","7","7.6","126","1989","action, adventure","265806","1989-06-19","http://www.imdb.com/title/tt0096895/"
"44","tt0119396","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Jackie Brown","Feature Film","Quentin Tarantino","6","7.5","154","1997","crime, thriller","237039","1997-12-25","http://www.imdb.com/title/tt0119396/"
"45","tt0261392","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Jay and Silent Bob Strike Back","Feature Film","Kevin Smith","4","6.9","104","2001","comedy","127642","2001-08-22","http://www.imdb.com/title/tt0261392/"
"46","tt0196229","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Zoolander","Feature Film","Ben Stiller","4","6.6","90","2001","comedy","198504","2001-09-28","http://www.imdb.com/title/tt0196229/"
"47","tt0307987","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Bad Santa","Feature Film","Terry Zwigoff","7","7.1","91","2003","comedy, crime, drama","106980","2003-11-26","http://www.imdb.com/title/tt0307987/"
"48","tt0425210","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Lucky Number Slevin","Feature Film","Paul McGuigan","8","7.8","110","2006","crime, drama, mystery, thriller","260244","2006-02-24","http://www.imdb.com/title/tt0425210/"
"49","tt1242460","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","We Need to Talk About Kevin","Feature Film","Lynne Ramsay","","7.5","112","2011","drama, thriller","93800","2011-05-12","http://www.imdb.com/title/tt1242460/"
"50","tt1527186","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Melancholia","Feature Film","Lars von Trier","3","7.1","130","2011","drama, sci_fi","126981","2011-05-18","http://www.imdb.com/title/tt1527186/"
"51","tt1465522","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Tucker and Dale vs Evil","Feature Film","Eli Craig","6","7.6","89","2010","comedy, horror","125976","2010-01-22","http://www.imdb.com/title/tt1465522/"
"52","tt0805564","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Lars and the Real Girl","Feature Film","Craig Gillespie","6","7.4","106","2007","comedy, drama, romance","113850","2007-09-16","http://www.imdb.com/title/tt0805564/"
"53","tt0120755","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Mission: Impossible II","Feature Film","John Woo","6","6.1","123","2000","action, adventure, thriller","238997","2000-05-24","http://www.imdb.com/title/tt0120755/"
"54","tt0103776","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Batman Returns","Feature Film","Tim Burton","6","7.0","126","1992","action","212714","1992-06-16","http://www.imdb.com/title/tt0103776/"
"55","tt0118617","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Anastasia","Feature Film","Don Bluth, Gary Goldman","7","7.1","94","1997","animation, adventure, drama, family, fantasy, musical, mystery, romance","85179","1997-11-14","http://www.imdb.com/title/tt0118617/"
"56","tt0241303","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Chocolat","Feature Film","Lasse Hallström","6","7.3","121","2000","drama, romance","149143","2000-12-15","http://www.imdb.com/title/tt0241303/"
"57","tt0146316","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Lara Croft: Tomb Raider","Feature Film","Simon West","4","5.7","100","2001","action, adventure, fantasy, thriller","155540","2001-06-11","http://www.imdb.com/title/tt0146316/"
"58","tt1091722","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Adventureland","Feature Film","Greg Mottola","6","6.8","107","2009","comedy, drama, romance","129576","2009-01-19","http://www.imdb.com/title/tt1091722/"
"59","tt1935896","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","The ABCs of Death","Feature Film","Kaare Andrews, Angela Bettis","","4.7","129","2012","comedy, horror","13943","2012-09-15","http://www.imdb.com/title/tt1935896/"
"60","tt0084021","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Grease 2","Feature Film","Patricia Birch","3","4.2","115","1982","comedy, drama, musical, romance","26116","1982-06-11","http://www.imdb.com/title/tt0084021/"
"61","tt0098384","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Steel Magnolias","Feature Film","Herbert Ross","","7.2","117","1989","comedy, drama, romance","34242","1989-11-05","http://www.imdb.com/title/tt0098384/"
"62","tt0107818","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Philadelphia","Feature Film","Jonathan Demme","4","7.7","125","1993","drama","177124","1993-12-22","http://www.imdb.com/title/tt0107818/"
"63","tt0114436","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Showgirls","Feature Film","Paul Verhoeven","4","4.6","128","1995","drama","49439","1995-09-21","http://www.imdb.com/title/tt0114436/"
"64","tt0118571","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Air Force One","Feature Film","Wolfgang Petersen","5","6.4","124","1997","action, adventure, drama, thriller","144636","1997-07-21","http://www.imdb.com/title/tt0118571/"
"65","tt0128442","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Rounders","Feature Film","John Dahl","8","7.4","121","1998","crime, drama","120687","1998-08-25","http://www.imdb.com/title/tt0128442/"
"66","tt0138097","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Shakespeare in Love","Feature Film","John Madden","5","7.2","123","1998","comedy, drama, romance","174180","1998-12-03","http://www.imdb.com/title/tt0138097/"
"67","tt0177789","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Galaxy Quest","Feature Film","Dean Parisot","5","7.3","102","1999","adventure, comedy, sci_fi","122495","1999-12-23","http://www.imdb.com/title/tt0177789/"
"68","tt0227538","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Spy Kids","Feature Film","Robert Rodriguez","3","5.4","88","2001","action, adventure, comedy, family, sci_fi","83375","2001-03-18","http://www.imdb.com/title/tt0227538/"
"69","tt1935902","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","The Brass Teapot","Feature Film","Ramaa Mosley","","6.4","101","2012","comedy, fantasy, thriller","11759","2012-09-08","http://www.imdb.com/title/tt1935902/"
"70","tt1441952","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Salmon Fishing in the Yemen","Feature Film","Lasse Hallström","","6.8","107","2011","comedy, drama, romance","51074","2011-09-10","http://www.imdb.com/title/tt1441952/"
"71","tt0109445","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Clerks","Feature Film","Kevin Smith","6","7.8","92","1994","comedy","180210","1994-01","http://www.imdb.com/title/tt0109445/"
"72","tt0117802","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Swingers","Feature Film","Doug Liman","4","7.4","96","1996","comedy, drama","63461","1996-08-31","http://www.imdb.com/title/tt0117802/"
"73","tt0083564","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Annie","Feature Film","John Huston","5","6.5","126","1982","comedy, drama, family, musical","30200","1982-05-17","http://www.imdb.com/title/tt0083564/"
"74","tt0084805","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Tootsie","Feature Film","Sydney Pollack","4","7.4","116","1982","comedy, drama, romance","76667","1982-12-01","http://www.imdb.com/title/tt0084805/"
"75","tt0091474","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Manhunter","Feature Film","Michael Mann","7","7.2","119","1986","crime, horror, mystery, thriller","49399","1986-08-15","http://www.imdb.com/title/tt0091474/"
"76","tt0106220","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Addams Family Values","Feature Film","Barry Sonnenfeld","4","6.6","94","1993","comedy, fantasy","56497","1993-11-19","http://www.imdb.com/title/tt0106220/"
"77","tt0107977","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Robin Hood: Men in Tights","Feature Film","Mel Brooks","5","6.7","104","1993","adventure, comedy, musical","89987","1993-07-28","http://www.imdb.com/title/tt0107977/"
"78","tt0116126","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Don't Be a Menace to South Central While Drinking Your Juice in the Hood","Feature Film","Paris Barclay","6","6.6","89","1996","comedy, crime","37667","1996-01-12","http://www.imdb.com/title/tt0116126/"
"79","tt0117666","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Sling Blade","Feature Film","Billy Bob Thornton","8","8.0","135","1996","drama","71782","1996-08-30","http://www.imdb.com/title/tt0117666/"
"80","tt0120631","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Ever After: A Cinderella Story","Feature Film","Andy Tennant","6","7.0","121","1998","comedy, drama, romance","57510","1998-07-29","http://www.imdb.com/title/tt0120631/"
"81","tt0171804","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Boys Don't Cry","Feature Film","Kimberly Peirce","5","7.6","118","1999","biography, crime, drama, romance","76944","1999-09-02","http://www.imdb.com/title/tt0171804/"
"82","tt0113627","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Leaving Las Vegas","Feature Film","Mike Figgis","8","7.6","111","1995","drama, romance","93088","1995-09-15","http://www.imdb.com/title/tt0113627/"
"83","tt0350261","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","An Unfinished Life","Feature Film","Lasse Hallström","","7.0","108","2005","drama","23702","2005-08-19","http://www.imdb.com/title/tt0350261/"
"84","tt1225822","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Extract","Feature Film","Mike Judge","","6.2","92","2009","comedy, crime, romance","37190","2009-09-04","http://www.imdb.com/title/tt1225822/"
"85","tt1032751","Wed Feb 25 14:42:27 2015","Wed Feb 25 14:42:27 2015","","The Warrior's Way","Feature Film","Sngmoo Lee","4","6.3","100","2010","action, fantasy, western","22108","2010-12-01","http://www.imdb.com/title/tt1032751/"
"86","tt1714206","Wed Feb 25 14:42:27 2015","Wed Feb 25 14:42:27 2015","","The Spectacular Now","Feature Film","James Ponsoldt","4","7.1","95","2013","comedy, drama, romance","103138","2013-01-18","http://www.imdb.com/title/tt1714206/"
"87","tt0325703","Wed Feb 25 14:42:27 2015","Wed Feb 25 14:42:27 2015","","Lara Croft Tomb Raider: The Cradle of Life","Feature Film","Jan de Bont","5","5.5","117","2003","action, adventure, fantasy","101674","2003-07-21","http://www.imdb.com/title/tt0325703/"
"88","tt0080761","Wed Feb 25 14:42:27 2015","Wed Feb 25 14:42:27 2015","","Friday the 13th","Feature Film","Sean S. Cunningham","7","6.5","95","1980","horror, mystery, thriller","81383","1980-05-09","http://www.imdb.com/title/tt0080761/"
"89","tt0124315","Wed Feb 25 14:42:27 2015","Wed Feb 25 14:42:27 2015","","The Cider House Rules","Feature Film","Lasse Hallström","","7.4","126","1999","drama, romance","78728","1999-09-07","http://www.imdb.com/title/tt0124315/"
"90","tt0227445","Wed Feb 25 14:42:27 2015","Wed Feb 25 14:42:27 2015","","The Score","Feature Film","Frank Oz","7","6.8","124","2001","crime, drama, thriller","101157","2001-07-09","http://www.imdb.com/title/tt0227445/"
"91","tt0313443","Wed Feb 25 14:42:27 2015","Wed Feb 25 14:42:27 2015","","Out of Time","Feature Film","Carl Franklin","4","6.5","105","2003","crime, drama, thriller","45464","2003-09-07","http://www.imdb.com/title/tt0313443/"
"92","tt0327679","Wed Feb 25 14:42:27 2015","Wed Feb 25 14:42:27 2015","","Ella Enchanted","Feature Film","Tommy O'Haver","","6.3","96","2004","comedy, family, fantasy, romance","47106","2004-04-09","http://www.imdb.com/title/tt0327679/"
"93","tt2005374","Wed Feb 25 14:42:27 2015","Wed Feb 25 14:42:27 2015","","The Frozen Ground","Feature Film","Scott Walker","4","6.4","105","2013","crime, drama, mystery, thriller","43413","2013-07-11","http://www.imdb.com/title/tt2005374/"
"94","tt0092644","Wed Feb 25 14:42:27 2015","Wed Feb 25 14:42:27 2015","","Beverly Hills Cop II","Feature Film","Tony Scott","4","6.4","100","1987","action, comedy, crime, thriller","83885","1987-05-19","http://www.imdb.com/title/tt0092644/"
"95","tt0104036","Wed Feb 25 14:42:27 2015","Wed Feb 25 14:42:27 2015","","The Crying Game","Feature Film","Neil Jordan","6","7.3","112","1992","crime, drama, romance, thriller","41004","1992-09-02","http://www.imdb.com/title/tt0104036/"
"96","tt0104254","Wed Feb 25 14:42:27 2015","Wed Feb 25 14:42:27 2015","","FernGully: The Last Rainforest","Feature Film","Bill Kroyer","4","6.5","76","1992","animation, adventure, family, fantasy, thriller","20505","1992-04-10","http://www.imdb.com/title/tt0104254/"
"97","tt0115639","Wed Feb 25 14:42:27 2015","Wed Feb 25 14:42:27 2015","","Beautiful Girls","Feature Film","Ted Demme","","7.2","112","1996","comedy, drama, romance","26379","1996-02-09","http://www.imdb.com/title/tt0115639/"
"98","tt0181536","Wed Feb 25 14:42:27 2015","Wed Feb 25 14:42:27 2015","","Finding Forrester","Feature Film","Gus Van Sant","7","7.3","136","2000","drama","72611","2000-12-20","http://www.imdb.com/title/tt0181536/"
"99","tt0338459","Wed Feb 25 14:42:27 2015","Wed Feb 25 14:42:27 2015","","Spy Kids 3-D: Game Over","Feature Film","Robert Rodriguez","","4.1","84","2003","action, adventure, comedy, family, sci_fi","39684","2003-07-13","http://www.imdb.com/title/tt0338459/"
"100","tt0780511","Wed Feb 25 14:42:27 2015","Wed Feb 25 14:42:27 2015","","Everybody's Fine","Feature Film","Kirk Jones","","7.2","99","2009","adventure, drama","49455","2009-11-03","http://www.imdb.com/title/tt0780511/"
"101","tt1103982","Wed Feb 25 14:42:27 2015","Wed Feb 25 14:42:27 2015","","The Girlfriend Experience","Feature Film","Steven Soderbergh","","5.5","77","2009","drama","13607","2009-01-20","http://www.imdb.com/title/tt1103982/"
"102","tt0844286","Wed Feb 25 14:42:27 2015","Wed Feb 25 14:42:27 2015","","The Brothers Bloom","Feature Film","Rian Johnson","","6.9","114","2008","adventure, comedy, drama, romance","41438","2008-09-09","http://www.imdb.com/title/tt0844286/"
"103","tt0243017","Wed Feb 25 14:42:27 2015","Wed Feb 25 14:42:27 2015","","Waking Life","Feature Film","Richard Linklater","4","7.8","99","2001","animation, drama, fantasy","48415","2001-01-23","http://www.imdb.com/title/tt0243017/"
"104","tt0340377","Wed Feb 25 14:42:27 2015","Wed Feb 25 14:42:27 2015","","The Station Agent","Feature Film","Tom McCarthy","","7.7","89","2003","comedy, drama","57733","2003-01-26","http://www.imdb.com/title/tt0340377/"
"105","tt0084707","Wed Feb 25 14:42:27 2015","Wed Feb 25 14:42:27 2015","","Sophie's Choice","Feature Film","Alan J. Pakula","","7.7","150","1982","drama, romance","28856","1982-12-08","http://www.imdb.com/title/tt0084707/"
"106","tt0076666","Wed Feb 25 14:42:27 2015","Wed Feb 25 14:42:27 2015","","Saturday Night Fever","Feature Film","John Badham","6","6.8","118","1977","drama, music","52902","1977-12-14","http://www.imdb.com/title/tt0076666/"
"107","tt0100502","Wed Feb 25 14:42:27 2015","Wed Feb 25 14:42:27 2015","","RoboCop 2","Feature Film","Irvin Kershner","5","5.7","117","1990","action, crime, sci_fi, thriller","62309","1990-06-22","http://www.imdb.com/title/tt0100502/"
"108","tt0337697","Wed Feb 25 14:42:27 2015","Wed Feb 25 14:42:27 2015","","The Prince and Me","Feature Film","Martha Coolidge","","5.9","111","2004","comedy, family, romance","31700","2004-03-28","http://www.imdb.com/title/tt0337697/"
"109","tt0466909","Wed Feb 25 14:42:27 2015","Wed Feb 25 14:42:27 2015","","The Omen","Feature Film","John Moore","","5.5","110","2006","fantasy, horror, mystery, thriller","48480","2006-06-06","http://www.imdb.com/title/tt0466909/"
"110","tt0462396","Wed Feb 25 14:42:27 2015","Wed Feb 25 14:42:27 2015","","The Last Legion","Feature Film","Doug Lefler","","5.4","102","2007","action, adventure, fantasy, war","29028","2007-04-19","http://www.imdb.com/title/tt0462396/"
"111","tt0109836","Wed Feb 25 14:42:27 2015","Wed Feb 25 14:42:27 2015","","Mary Shelley's Frankenstein","Feature Film","Kenneth Branagh","","6.4","123","1994","drama, horror, romance, sci_fi","42257","1994-11-04","http://www.imdb.com/title/tt0109836/"
"112","tt0116191","Wed Feb 25 14:42:27 2015","Wed Feb 25 14:42:27 2015","","Emma","Feature Film","Douglas McGrath","","6.8","120","1996","comedy, drama, romance","27441","1996-06-07","http://www.imdb.com/title/tt0116191/"
"113","tt0120902","Wed Feb 25 14:42:27 2015","Wed Feb 25 14:42:27 2015","","The X Files","Feature Film","Rob Bowman","4","7.0","121","1998","drama, mystery, sci_fi, thriller","84924","1998-06-19","http://www.imdb.com/title/tt0120902/"
"114","tt0287717","Wed Feb 25 14:42:27 2015","Wed Feb 25 14:42:27 2015","","Spy Kids 2: Island of Lost Dreams","Feature Film","Robert Rodriguez","","5.1","100","2002","action, adventure, comedy, family, sci_fi","44306","2002-08-07","http://www.imdb.com/title/tt0287717/"
"115","tt0300051","Wed Feb 25 14:42:27 2015","Wed Feb 25 14:42:27 2015","","Jersey Girl","Feature Film","Kevin Smith","","6.2","102","2004","comedy, drama, romance","53925","2004-03-26","http://www.imdb.com/title/tt0300051/"
